,Title,Plot,Genre
609,The New Klondike,"Small-town pitcher Thomas Kelly (Thomas Meighan) is sent to Spring training with a minor league baseball team in Florida, but is fired by its jealous manager, Joe Cooley (Jack W. Johnston). Kelly is then talked into being the celebrity endorser for a Florida real estate firm, and his former teammates invest money in the firm through him. Still jealous of Kelly's popularity, Cooley conspires with crooked broker Morgan West (Robert Craig) to sell Kelly and the investors some worthless swampland. Kelly and his friends lose their money, but Kelly struggles to recoup the losses. He eventually makes a fortune, repays the investors, and is himself appointed team manager in place of Cooley.",romantic comedy
629,College,"In Southern California, Ronald graduates high school as its ""most brilliant scholar"". At his graduation, Ronald speaks on ""the Curse of the Athlete"", arguing that books are more important than athletics.
Ronald decides to follow Mary, who rejected him because she loves athletes more than bookworms, to Clayton which the dean describes as an ""athlete-infested college"". Hoping to impress Mary, Ronald tries out for the baseball and track and field teams, but proves to be totally inept. At the same time, he attempts to work as a soda jerk and as a waiter in blackface while trying to keep these jobs a secret from Mary.
Eventually the dean asks Ronald why his grades are suffering. After Ronald explains the situation, the dean empathizes with him and orders the rowing coach to make Ronald the coxswain in the upcoming competition. The coach tries to sabotage Ronald by slipping him a sleeping potion so he cannot compete, but the potion is accidentally consumed by the team's other coxswain instead. Despite Ronald capsizing the boat, pulling the rudder off mid-race, and causing collisions with other boats, the Clayton team wins the race anyway.
Meanwhile, Mary starts to appreciate Ronald’s futile efforts to impress her. However, on the day of a competition, Jeff, Mary’s athlete boyfriend, gets kicked out of college and takes her hostage in her room in an effort to get her kicked out also to get her to marry him. In the end, she manages to contact Ronald by telephone, who in a sudden show of athleticism sprints to her dormitory, pole vaults into her window, and fights off Jeff by throwing household objects at him. Mary agrees to marry Ronald and they live the rest of their lives together.",romantic comedy
630,The College Hero,"Football player Bob Cantfield enrolls at Carver College, is assigned Jim Halloran as a roommate and lands a date with Sampson Saunders' attractive sister, Vivian.
Jim's jealousy over Bob's gridiron and girlfriend successes cause him to trip his teammate deliberately and cause Bob to be injured in a game. Bob is still able to score the touchdown that wins Carver the game, after which Jim's conscience gets the better of him.",romantic comedy
639,Hula,"Hula Calhoun (Clara Bow) is the daughter of a Hawaiian planter, Bill Calhoun (Albert Gran). She follows the advice of her uncle Edwin (Agostino Borgato), and follows a simple and natural life, far from social conventions of her family and is considered a ""wild child"" who wears pants and rides horses.[2]
Courted with adoration by Harry Dehan (Arnold Kent), Hula prefers a young British engineer, Anthony Haldane (Clive Brook), who came to the island to oversee the construction of a dam on her father's property. However, Haldane is already married. At a party, Haldane tries to keep his distance but Hula gets drunk and performs a seductive hula dance for him. She manages to provoke him so much that he promises that he will get a divorce. When his wife, Margaret (Patricia Dupont), appears, Hula makes a deal with one of the foreman to use dynamite to blow up a point on the dam. Thinking that her husband is now ruined, Mrs. Haldane agrees to the divorce, and the two lovers can finally get married.",romantic comedy
640,Husband Hunters,"The film looks at the exploits of chorus girls Marie (Mae Busch) and Helen (Duane Thompson) who have dedicated themselves to finding and marrying millionaire husbands. The two ladies enlist the help of the innocent young Lettie Crane (Jean Arthur) in their scheme. Lettie is a girl from a small town who dreams of one day making it big on Broadway.
After being enlisted by the two, Lettie is left heartbroken by a callous young man and regrets her involvement. However, by the film's end, she is the only one of the trio who finally finds true love. Another chorus girl, Cynthia Kane (Mildred Harris) follows the antics of the trio with both amusement and disapproval.[2]",romantic comedy
641,It,"Spunky shopgirl Betty Lou Spence (Clara Bow) has a crush on her handsome employer, Cyrus Waltham, Jr. (Antonio Moreno), the new manager of and heir to the ""world's largest store"". However, they belong to different social classes and he is already romantically linked to blonde socialite Adela Van Norman (Jacqueline Gadsden). But Cyrus's silly friend Monty (William Austin) notices Betty, and she uses him to get closer to Cyrus.
When Betty finally gets Cyrus's attention, she convinces him to take her on a date to Coney Island, where he is introduced to the proletarian pleasures of roller coasters and hot dogs and has a wonderful time. At the end of the evening he tries to kiss her. She slaps his face and hurries out of his car and into her flat, but then peeks out her window at him as he is leaving.
The next day, meddling welfare workers are trying to take away the baby of Betty's sickly roommate Molly (Priscilla Bonner). To protect her friend, Betty bravely claims that the baby is in fact hers. Unfortunately, this is overheard by Monty, who tells Cyrus. Although he is in love with her, Cyrus offers her an ""arrangement"" that includes everything but marriage. Shocked and humiliated, Betty Lou refuses, quits her job, and resolves to forget Cyrus. When she learns from Monty about Cyrus's misunderstanding, she fumes and vows to teach her former beau a lesson.
When Cyrus hosts a yachting excursion, Betty Lou makes Monty take her along, masquerading as ""Miss Van Cortland"". Cyrus at first wants to remove her from the ship, but he cannot long resist Betty Lou's it factor; he eventually corners her and proposes marriage, but she gets him back, by telling him that she'd ""...rather marry his office boy,"" which accomplishes her goal, but breaks her heart. He then learns the truth about the baby and leaves Monty at the yacht's helm to find her. Monty crashes the yacht into a fishing boat, tossing both Betty Lou and Adela into the water. Betty Lou saves Adela, punching her in the face when she panics and threatens to drown them both. At the end of the film, she and Cyrus reconcile on the anchor of the yacht, with the first two letters of the ship's name, Itola, between them. Monty and Adela are upset at losing their friends, but it is implied they pursue a relationship with each other as the film ends.",romantic comedy
650,My Best Girl,"The film starts out at The Merrill Department store where a very exhausted stockgirl named Maggie Johnson (Mary Pickford) is given a moment to attend to the sales counter. There she encounters a charming handsome man who pretends to be interested in purchasing some children's toys but, after many humorous demonstrations by Maggie, the manager comes over and gives the man his time card. The man is said to be Joe Grant (Buddy Rogers) though in reality he is the son of the owner; making him Joseph Merrill. To prove to his father he is ready for his engagement, he has taken the job of stockboy under an assumed name.
Annoyed, Maggie takes Joe back to the stockroom and tells him to get to work. He is so inept that she calls him, 'The Dumbest Stockboy in the World' though she promises to take him under her wing, much to his amusement.
A few days later, after her shift, Maggie is outside waiting for Joe. She appears to have a crush on him. Some of her coworkers tease her but eventually warn her that Joe is coming, causing Maggie to hop on her ride home from work: the back of an open truck. Joe is swarmed with salesgirls who try for his attention causing him to not focus on Maggie. Determined Maggie throws her bag on the ground as the vehicle pulls away. Joe picks it up and chases the truck down to give it to her. After three more times of this, he finally grows weary and jumps in the truck to join Maggie, who feigns innocence.
The two flirt and Maggie shows him pictures of her off-kilter family. Once they reach her home, she invites him in for supper only to find her family is causing a commotion. Her father (Lucien Littlefield) is an elderly postal worker who is meek and easily subdued. Her mother (Sunshine Hart) is a dramatic woman who enjoys going to random funerals and makes frequent use of smelling salts to avoid fainting. Her sister Liz (Carmelita Geraghty) is a flapper who has a boyfriend who gets her into trouble. Maggie does her best to hide the goings on but eventually caves and sends Joe on his way hoping to have dinner with him another day.
Time passes and Joe's mother is planning his engagement announcement party. However she has not mentioned it to him, hoping to make it a surprise. Joe has been promoted and is now Maggie's boss. However, he still eats lunch with her every day in the stockroom. During one such lunch, after receiving the note to join his parents for dinner (for the surprise party), Maggie gives him a watch for his birthday. He is touched and puts it on. Shortly after this he accidentally catches his sleeve on a nail. Trying to pull himself free, he accidentally puts his arm around Maggie, and after the mutual surprise the two kiss.
Enamored with each other they head out on the town to walk in the rain. Joe begins to spend money and she tells him he'll end up in the poorhouse. Joe offers to buy her dinner at a nice restaurant but, embarrassed by her shoddy work clothes, Maggie declines. Joe gets the idea to tell her they should follow the store's company motto, ""We're all a family"" and that, if they were family, they could eat at the Merrill Mansion. Maggie, thinking he is joking, agrees. Meanwhile, her sister is arrested because of her association with her boyfriend, and is taken to night court. Her family frets at not being able to find Maggie, who they believe needs to help Liz out of the mess. Maggie had tried to call them, but after a few rings (while her father made his way to the phone) she hung up.
Arriving at the Merrill Mansion, Maggie is amazed that it is the real deal. Joe is amused with her reluctance but eventually gets her into the mansion, much to the butler's amusement. Maggie is extremely reluctant until Joe convinces the butler to say 'a Merrill employee eats here almost every night!' Maggie relaxes and tells Joe they should pretend to be Mr. and Mrs. Merrill. Joe is extremely amused by this, and at her lack of formal dinner habits.
At the surprise engagement party, Joe's family sits concerned. They return home to find Joe and Maggie, who has hidden under the table. Joe admits he is 'Joseph Merrill' but before he can explain further his fiancee (Avonne Taylor) arrives and kisses him in front of Maggie. Maggie, heartbroken leaves. Joe, upset, tells his fiancee he had broken Maggie's heart and must go after her.
Maggie walks and walks until she returns to where Joe and her shared a moment which happens to be by the night court. She sees her family arrive and after they chasten her they enter the court to try to save Liz from prison. Meanwhile Joe arrives at the same spot only to be helped by a homeless man who had watched their interactions. Joe enters the court to hear Maggie's passionate plea for her sister, whom the judge eventually lets go.
While Maggie fetches water for her 'on the verge of fainting' mother, Joe walks over to Maggie and apologizes, saying he did not love his fiancee and would not marry her. He then proposes to Maggie which causes (for a change) her sister to faint. While everyone tries to revive Liz, Liz's boyfriend makes a remark to her father about Maggie 'taking up with the Merrill boy' implying that it was only for sex. Joe, offended, punches him and begins to fight in the courtroom.
The next day, Maggie is back home, reading the paper which has headlines about their romance. Joe's father (Hobart Bosworth) arrives at the home. He tells Maggie he wants to send his son to Hawaii until the scandal blew over, which Joe agreed to. However, Joe apparently made plans to bring Maggie as well and marry on the boat. Mr. Merrill, not happy with this, tries to buy Maggie off with a check for $10,000 just as Joe arrives, unaware his father is there. Joe tells Maggie his plans and she becomes upset. Angry, she begins a whole tirade against him trying to find out if he really loved her or not. She begins to claim she is just a jazz girl and knew who he was all along. That she was a gold digger and just after his money and, thanks to his father, she now had what she wanted. She even plays a jazz record and puts on lipstick in an attempt to prove her point.
Joe begins to cry, and Maggie, touched, breaks down and admits that none of it is true and the real reason she cannot go away with him is because of her family (who had been listening in the living room the whole time) who needs her more than he does. Her father becomes livid and declares it was time 'he became the father of the family' and takes charge of his wife and daughters. In a comedic scene he commands everyone (including both Merrills) to pack Maggie's things for the ship which leaves in ten minutes.
After an extreme car ride, the couple barely make it to the departing boat. Once boarded, the father realizes he never gave Maggie her suitcase. He tries to throw the suitcase onto the boat, but it ends up in the ocean. The couple waves goodbye and eventually get crowded back from view. When the crowd leaves, we see the couple kissing.",romantic comedy
658,The Student Prince in Old Heidelberg,"Young Crown Prince Karl Heinrich (Philippe De Lacy), heir to the kingdom of Karlsburg, is brought to live with his stern uncle, King Karl VII (Gustav von Seyffertitz). The king immediately dismisses the boy's nanny (Edythe Chapman) without telling the youngster to avoid an emotional farewell. Fortunately, Dr. Friedrich Jüttner (Jean Hersholt), his new tutor, proves to be sympathetic, and they become lifelong friends. Nonetheless, despite the commoners' belief that it must be wonderful to be him, the boy grows up lonely, without playmates his own age.
Upon passing his high school examination in 1901 with the help of Dr.Jüttner, the young prince (Ramón Novarro) is delighted to learn that both he and Jüttner are being sent to Heidelberg, where he will continue his education. When they arrive, Karl's servant is appalled at the rooms provided for the prince and Jüttner at the inn of Ruder (Otis Harlan). When Ruder's niece Kathi (Norma Shearer) stoutly defends the centuries-old family business, Karl is entranced by her, and decides to stay. He is quickly made a member of Corps Saxonia, a student society.
Later that day, Karl tries to kiss Kathi, only to learn that she is engaged. Her family approves of her fiance, but she is not so sure about him. She eventually confesses to Karl that, despite the vast social gulf between them, she has fallen in love with him. Karl feels the same about her and swears that he will let nothing separate them. When he takes her boating, their rower, Johann Kellermann, turns his back to them to give them some privacy. Karl jokingly tells him that, when he is king, he will make Kellermann his majordomo.
Then Jüttner receives a letter from the king ordering him to inform Karl that he has selected a princess for him to marry. Jüttner cannot bring himself to destroy his friend's happiness. That same day, however, Prime Minister von Haugk (Edward Connelly) arrives with the news that the king is seriously ill, and that Karl must go home and take up the reins of government. When Karl sees his uncle, he is told of the matrimonial plans. While Karl is still reeling from the shock, the old king dies, followed by Jüttner.
Later, von Haugk presses the new monarch about the marriage. The anguished Karl signs the document for the wedding. Then Kellermann shows up to take the job Karl had offered him. When Karl asks him about Kathi, he learns that she is still waiting for him. He goes to see her one last time.
In the last scene, Karl is shown riding through the streets in a carriage with his bride. One onlooker remarks that it must be wonderful to be king, unaware of Karl's misery.",romantic comedy
690,Feel My Pulse,Barbara Manning (Daniels) is a wealthy hypochondriac who inherits a sanatorium and finds love and adventure.,romantic comedy
696,The Gateway of the Moon,"Arthur Wyatt, an American railroad conductor, is lost in the jungle of the Amazon in South America. He is rescued by Chela, the beautiful princess of a native tribe.",romantic comedy
697,A Girl in Every Port,"Spike (McLaglen) travels the world as the mate of a schooner. He has a little address book full of sweethearts, but everywhere he goes, he finds that someone has been there before him, leaving behind with each girl a heart-shaped charm with an anchor inscribed on it. In Central America, he takes a dislike to another sailor, Salami (Armstrong), but before they can settle their differences, they brawl with the police and are thrown in jail. Then Spike notices that Salami has a ring shaped like a heart with an anchor inscribed. He has finally found his nemesis. When they are released, they look for a private place to fight, but accidentally fall into the water. Oddly, Spike cannot swim, so when Salami rescues him, they become the best of friends. Inseparable, they sail the seas on the same ships.
Just before they reach Marseille, Spike tells Salami he has finally saved enough money to buy a house and some horses, cows and chickens, but Salami scoffs at the idea. When they dock, Salami has to stay aboard due to a toothache and worries the Spike will get into trouble without him. Sure enough, that is what happens. At a carnival, Spike becomes entranced by the high diver ""Mam'selle Godiva"" (Brooks). When the barker signals her that Spike gave him the most money to watch her performance, she latches onto him. He is so in love with her that he asks her if she would like to settle down with him; she leads him on so she can get the rest of his money.
When Spike first introduces Salami to her, Salami recognizes her. She was his girlfriend at Coney Island until he left her. She makes it clear that she would very much like to renew their relationship, but he is not interested, nor does he want to hurt Spike by telling him the truth. One night, she sends Spike on an errand so she can visit Salami, whom she finds asleep in bed. She tells him that she has gotten most of Spike's savings and is about to drop him. Salami refuses to take her back; he gets dressed and goes to a bar to get away from her. However, Spike returns to their lodgings and finds her there. He also spots Salami's unmade bed, so he assumes the worst. Meanwhile, Salami gets into a fight with two other sailors and yells for his friend's help. Spike knocks the two men out, then does the same to Salami. After thinking over all the fun they had together, however, he asks Salami if he betrayed him. When Salami says no, they become friends again.",romantic comedy
750,What a Night!,"Daniels, in her final silent film,[3] plays Dorothy Winston, an heiress who sets out to become a newspaper reporter and, when she breaks a big story, finds herself in peril.[4]",romantic comedy
779,Dangerous Curves,"Pat Delaney is working in a circus as one of the female bareback riders. She is in love with Larry Lee, an arrogant trapeze artist and the circus' biggest act. He does not seem to notice her, though, as he is used to being adored by tons of women. He is in a relationship with Zara, a manipulative vamp.
Larry's boss warns him about Zara, explaining that he has been incurring a lot of debts since he began dating her and that his act is no longer as powerful as in the past. One day, Pat and Larry get acquainted and she intimates that she has feelings about him and that they should do an act together. Although he makes clear that his heart belongs to someone else, he convinces the circus manager to give Pat a try on the wire.
Later that day, Pat catches Zara having a date with another man, Tony. When she tells Larry about the affair, he madly confronts Zara and threatens to beat up Tony. He is interrupted by the notion that he has to perform, but he is unable to concentrate and falls off the tight-rope. He is taken to the hospital and soon recovers, but then goes missing from the circus. He refuses to come back and spends his time getting drunk instead. When he finds out that Zara and Tony have left the circus and are now struggling to get work, he sympathizes with them. Upon finding out that he is not planning on returning to the circus, Pat is determined to convince him to do otherwise. Together they form an act, but it soon becomes clear that Larry has lost his talent.
Pat has trouble breaking through his distant behavior, but she convinces him to teach her how to walk a tight-rope. During this progress, he finds his talent again and urges Zara to come back to work on the greatest tight-rope act in history. When Pat finds out, she feels used and confronts Larry with an outburst before leaving in tears. The circus manager tries to comfort her and offers her her own wire act. Meanwhile, Larry is left behind by Zara, who turns out to have married Tony. On the night of her premiere, a drunken Larry tells Pat about his failure. As she tries to comfort him, she misses her premiere and is fired. Larry has collapsed in the meanwhile and Pat decides to pose as him on stage. When Larry awakens, he shows his gratitude and kisses her.",romantic comedy
781,The Delightful Rogue,"Lastro is a modern-day pirate who hijacks a yacht and heads into the tropic port of Tapit. He is wanted for a variety of offenses, including murder and robbery. Upon his arrival, he is recognized by a local native leader, Junipero, who recognizes him, but takes a bribe to not turn him in. While in Tapit, he sees an American dancer, Nydra, who he is immediately attracted to. Nydra is also being pursued by Harry Beall, the heir to a wealthy American family, yet Nydra is intrigued by Lastro's self-assurance and audacity.
Lastro is betrayed by Junipero, who brings the police to arrest Lastro. In the ensuing melee, Lastro overcomes both Junipero and the police, as well as easily brushing aside Beall. To secure his safe escape, Lastro takes Beall as a hostage back to his yacht. Nydra appears to beg Lastro to let Beall go, which Lastro agrees to, on one condition: Nydra must spend the night with Lastro in his cabin aboard the yacht. Nydra agrees. While they spend the night in the cabin, nothing untoward happens, with the two simply spending the time talking and getting to know each other. Nydra is impressed with Lastro's gallantry. However, Beall has spent the night imagining the worst, and his jealous reactions in the morning completely turn Nydra off. Disgusted with his behavior, Nydra sets sails with the gallant pirate, Lastro.",romantic comedy
810,The Lady Lies,Children of a widower who is having an affair with a salesgirl try to break it up but are won over by the girl.,romantic comedy
840,The Saturday Night Kid,"Set in May 1929, the film focuses on two sisters - Mayme (Clara Bow) and Janie (Jean Arthur) - as they share an apartment in New York City. In daytime, they work as salesgirls at the Ginsberg's department store, and at night they vie for the attention of their colleague Bill (James Hall) and fight over Janie's selfish and reckless behavior, such as stealing Mayme's clothes and hitchhiking to work with strangers. Bill prefers Mayme over Janie and constantly shows his affection for her. This upsets Janie, who schemes to break up the couple.
One day at work, Bill is promoted to floorwalker, while Janie is made treasurer of the benefit pageant. Mayme, however, is not granted a promotion, but gets heavily criticized for constantly being late at work by the head of personnel, Miss Streeter (Edna May Oliver).",romantic comedy
